[2026-07-06T07:54:38.183Z] [INFO] Starting REMOTE API on port 3001...
[2026-07-06T07:54:38.227Z] [INFO] Remote clock calibrated {"state":"synchronized","offsetMs":793,"roundTripMs":39}
Starting server on port 3001...
Server running at http://localhost:3001
[2026-07-06T07:54:39.012Z] [INFO] GET / - 1ms
[2026-07-06T07:54:40.459Z] [INFO] GET / - 0ms
[2026-07-06T07:54:41.869Z] [INFO] GET / - 0ms
[2026-07-06T07:54:43.272Z] [INFO] GET / - 0ms
[2026-07-06T07:54:44.434Z] [INFO] GET /system/time - 3ms
[2026-07-06T07:54:44.676Z] [INFO] GET / - 0ms
[2026-07-06T07:54:46.188Z] [INFO] GET / - 1ms
[2026-07-06T07:54:47.688Z] [INFO] GET / - 0ms
[2026-07-06T07:54:49.094Z] [INFO] GET / - 0ms
[2026-07-06T07:54:50.552Z] [INFO] GET / - 0ms
[2026-07-06T07:54:51.960Z] [INFO] GET / - 0ms
[2026-07-06T07:54:52.969Z] [INFO] GET /system/time - 11ms
[2026-07-06T07:54:53.049Z] [INFO] [SECURITY] AUTH:DEVICE_LOGIN_SUCCESS - Success: true
[2026-07-06T07:54:53.050Z] [INFO] POST /auth/device-login - 29ms
[2026-07-06T07:54:53.061Z] [INFO] GET /sync/changes - 9ms
[2026-07-06T07:54:53.369Z] [INFO] GET / - 0ms
[2026-07-06T07:54:54.829Z] [INFO] GET / - 0ms
[2026-07-06T07:54:56.336Z] [INFO] GET / - 0ms
[2026-07-06T07:54:58.483Z] [INFO] GET / - 0ms
[2026-07-06T07:55:00.041Z] [INFO] GET / - 0ms
[2026-07-06T07:55:01.441Z] [INFO] GET / - 0ms
[2026-07-06T07:55:02.981Z] [INFO] GET / - 0ms
[2026-07-06T07:55:03.269Z] [INFO] GET /system/time - 4ms
[2026-07-06T07:55:04.479Z] [INFO] GET / - 1ms
[2026-07-06T07:55:06.044Z] [INFO] GET / - 0ms
[2026-07-06T07:55:07.442Z] [INFO] GET / - 0ms
[2026-07-06T07:55:09.011Z] [INFO] GET / - 0ms
[2026-07-06T07:55:10.417Z] [INFO] GET / - 0ms
[2026-07-06T07:55:11.866Z] [INFO] GET / - 0ms
[2026-07-06T07:55:13.272Z] [INFO] GET / - 1ms
[2026-07-06T07:55:14.681Z] [INFO] GET / - 0ms
[2026-07-06T07:55:16.082Z] [INFO] GET / - 0ms
[2026-07-06T07:55:17.547Z] [INFO] GET / - 0ms
[2026-07-06T07:55:18.949Z] [INFO] GET / - 0ms
[2026-07-06T07:55:21.065Z] [INFO] GET / - 0ms
[2026-07-06T07:55:22.528Z] [INFO] GET / - 0ms
[2026-07-06T07:55:23.107Z] [INFO] GET /sync/changes - 11ms
[2026-07-06T07:55:23.930Z] [INFO] GET / - 0ms
[2026-07-06T07:55:25.346Z] [INFO] GET / - 0ms
[2026-07-06T07:55:26.748Z] [INFO] GET / - 0ms
[2026-07-06T07:55:28.215Z] [INFO] GET / - 0ms
[2026-07-06T07:55:29.770Z] [INFO] GET / - 0ms
[2026-07-06T07:55:31.178Z] [INFO] GET / - 1ms
[2026-07-06T07:55:32.589Z] [INFO] GET / - 0ms
[2026-07-06T07:55:34.121Z] [INFO] GET / - 0ms
[2026-07-06T07:55:35.673Z] [INFO] GET / - 1ms
[2026-07-06T07:55:37.167Z] [INFO] GET / - 0ms
[2026-07-06T07:55:38.576Z] [INFO] GET / - 0ms
[2026-07-06T07:55:39.979Z] [INFO] GET / - 0ms
[2026-07-06T07:55:41.379Z] [INFO] GET / - 0ms
[2026-07-06T07:55:43.540Z] [INFO] GET / - 0ms
[2026-07-06T07:55:45.140Z] [INFO] GET / - 0ms
[2026-07-06T07:55:46.545Z] [INFO] GET / - 0ms
[2026-07-06T07:55:48.080Z] [INFO] GET / - 0ms
[2026-07-06T07:55:49.594Z] [INFO] GET / - 0ms
[2026-07-06T07:55:51.008Z] [INFO] GET / - 0ms
[2026-07-06T07:55:52.414Z] [INFO] GET / - 0ms
[2026-07-06T07:55:53.096Z] [INFO] GET /sync/changes - 5ms
[2026-07-06T07:55:53.886Z] [INFO] GET / - 0ms
[2026-07-06T07:55:55.313Z] [INFO] GET / - 0ms
[2026-07-06T07:55:56.727Z] [INFO] GET / - 1ms
[2026-07-06T07:55:58.150Z] [INFO] GET / - 1ms
[2026-07-06T07:55:59.630Z] [INFO] GET / - 1ms
